# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MEM.ramBytes,1749132222293000000,1749132243793000000,3313647616
JVM.totalBytesAllocated,1749132222293000000,1749132243793000000,9291079576
JVM.GC.collections,1749132222293000000,1749132243793000000,22
JVM.maxThreadCount,1749132222293000000,1749132243793000000,142
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1749132222293000000,1749132243793000000,0
workspaceModel.global.updates.ms,1749132222293000000,1749132243793000000,3
workspaceModel.moduleManagerBridge.get.modules.ms,1749132222293000000,1749132243793000000,0
jps.global.get.library.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1749132222293000000,1749132243793000000,13
workspaceModel.moduleManagerBridge.build.module.graph.ms,1749132222293000000,1749132243793000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1749132222293000000,1749132243793000000,5
jps.reload.project.entities.ms,1749132222293000000,1749132243793000000,0
workspaceModel.do.save.caches.ms,1749132222293000000,1749132243793000000,22
jps.facet.change.listener.init.bridge.ms,1749132222293000000,1749132243793000000,0
jps.modifiable.module.model.bridge.disposing.ms,1749132222293000000,1749132243793000000,0
jps.artifact.entities.serializer.load.entities.ms,1749132222293000000,1749132243793000000,0
jps.save.global.entities.ms,1749132222293000000,1749132243793000000,21
workspaceModel.moduleBridge.before.changed.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1749132222293000000,1749132243793000000,0
jps.facet.change.listener.process.change.events.ms,1749132222293000000,1749132243793000000,0
jps.project.serializers.load.ms,1749132222293000000,1749132243793000000,0
jps.modifiable.module.model.bridge.new.module.ms,1749132222293000000,1749132243793000000,5
workspaceModel.mutableEntityStorage.replace.by.source.ms,1749132222293000000,1749132243793000000,3
jps.load.project.to.empty.storage.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1749132222293000000,1749132243793000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1749132222293000000,1749132243793000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1749132222293000000,1749132243793000000,11
workspaceModel.save.cache.to.file.ms,1749132222293000000,1749132243793000000,34
workspaceModel.mutableEntityStorage.instances.count,1749132222293000000,1749132243793000000,30
jps.modifiable.module.model.bridge.load.module.ms,1749132222293000000,1749132243793000000,0
workspaceModel.sync.entities.ms,1749132222293000000,1749132243793000000,0
jps.save.changed.project.entities.ms,1749132222293000000,1749132243793000000,21
workspaceModel.mutableEntityStorage.collect.changes.ms,1749132222293000000,1749132243793000000,0
workspaceModel.moduleBridge.update.option.ms,1749132222293000000,1749132243793000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1749132222293000000,1749132243793000000,5
workspaceModel.load.cache.metadata.from.file.ms,1749132222293000000,1749132243793000000,0
workspaceModel.global.updates.count,1749132222293000000,1749132243793000000,1
jps.global.handle.changed.events.ms,1749132222293000000,1749132243793000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1749132222293000000,1749132243793000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1749132222293000000,1749132243793000000,0
jps.storage.jps.conf.reader.load.component.ms,1749132222293000000,1749132243793000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1749132222293000000,1749132243793000000,0
jps.library.entities.serializer.save.entities.ms,1749132222293000000,1749132243793000000,1
workspaceModel.load.cache.from.file.ms,1749132222293000000,1749132243793000000,0
jps.facet.change.listener.before.change.events.ms,1749132222293000000,1749132243793000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1749132222293000000,1749132243793000000,1
jps.app.storage.content.writer.save.component.ms,1749132222293000000,1749132243793000000,5
workspaceModel.mutableEntityStorage.entities.ms,1749132222293000000,1749132243793000000,0
jps.modifiable.module.model.bridge.renaming.ms,1749132222293000000,1749132243793000000,0
jps.app.storage.content.reader.load.component.ms,1749132222293000000,1749132243793000000,0
