Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
RedundantLabel;Kotlin/Probable bugs;Redundant label;kotlin;LOCAL;0.00;0.00%;0;65
LocalVariableName;Kotlin/Naming conventions;Local variable naming convention;kotlin;LOCAL;0.00;0.00%;0;7
SafeCastWithReturn;Kotlin/Style issues;Safe cast with 'return' should be replaced with 'if' type check;kotlin;LOCAL;0.00;0.00%;0;6
RemoveCurlyBracesFromTemplate;Kotlin/Redundant constructs;Redundant curly braces in string template;kotlin;LOCAL;0.00;0.00%;0;7
CanUnescapeDollarLiteral;Kotlin/Redundant constructs;Redundant escaped dollar characters in string literals;kotlin;LOCAL;0.00;0.00%;0;3
RegExpRedundantClassElement;RegExp;Redundant '\d', '[:digit:]', or '\D' class elements;RegExp;LOCAL;0.00;0.00%;0;4
DifferentKotlinMavenVersion;Kotlin;Maven and IDE plugins versions are different;XML;LOCAL;0.00;0.00%;0;2
ObjectPropertyName;Kotlin/Naming conventions;Object property naming convention;kotlin;LOCAL;0.00;0.00%;0;6
RemoveToStringInStringTemplate;Kotlin/Redundant constructs;Redundant call to 'toString()' in string template;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceCallWithBinaryOperator;Kotlin/Style issues;Can be replaced with binary operator;kotlin;LOCAL;0.00;0.00%;0;8
RedundantElvisReturnNull;Kotlin/Redundant constructs;Redundant '?: return null';kotlin;LOCAL;0.00;0.00%;0;8
RegExpEmptyAlternationBranch;RegExp;Empty branch in alternation;RegExp;LOCAL;0.00;0.00%;0;4
UnusedReceiverParameter;Kotlin/Redundant constructs;Unused receiver parameter;kotlin;LOCAL;0.00;0.00%;0;5
DeprecatedMavenDependency;Kotlin;Deprecated library is used in Maven;XML;LOCAL;0.00;0.00%;0;2
EnumEntryName;Kotlin/Naming conventions;Enum entry naming convention;kotlin;LOCAL;0.00;0.00%;0;3
PrivatePropertyName;Kotlin/Naming conventions;Private property naming convention;kotlin;LOCAL;0.00;0.00%;0;1
RemoveSetterParameterType;Kotlin/Redundant constructs;Redundant setter parameter type;kotlin;LOCAL;0.00;0.00%;0;4
RedundantConstructorKeyword;Kotlin/Redundant constructs;Redundant 'constructor' keyword;kotlin;LOCAL;0.00;0.00%;0;9
RegExpSuspiciousBackref;RegExp;Suspicious back reference;RegExp;LOCAL;0.00;0.00%;0;4
RedundantEmptyInitializerBlock;Kotlin/Redundant constructs;Redundant empty initializer block;kotlin;LOCAL;0.00;0.00%;0;7
RedundantInterpolationPrefix;Kotlin/Redundant constructs;Redundant interpolation prefix;kotlin;LOCAL;0.00;0.00%;0;7
CascadeIf;Kotlin/Style issues;Cascade 'if' can be replaced with 'when';kotlin;LOCAL;0.00;0.00%;0;7
ReplaceSizeZeroCheckWithIsEmpty;Kotlin/Style issues;Size zero check can be replaced with 'isEmpty()';kotlin;LOCAL;0.00;0.00%;0;9
ClassName;Kotlin/Naming conventions;Class naming convention;kotlin;LOCAL;0.00;0.00%;0;5
RedundantOverride;Kotlin/Redundant constructs;Redundant overriding method;kotlin;LOCAL;0.00;0.00%;0;4
